office,statefips,countyfips,dem_margin
309,08,08105,-0.10802081464202407
309,08,08107,0.18345428156748905
309,08,08109,0.1853281853281853
309,08,08111,0.17269076305220882
309,08,08113,0.4401114206128133
309,08,08115,-0.3261194029850746
309,08,08117,0.2738469272338821
309,08,08119,-0.3826238660153524
309,08,08121,-0.57920059215396
309,08,08123,-0.16802720582216507
309,08,08125,-0.4481310373792525
308,12,12001,0.2227978478093774
308,12,12003,-0.6439984258166076
308,12,12005,-0.45790165718301556
308,12,12007,-0.49259746668860016
308,12,12009,-0.19541335445604308
308,12,12011,0.34914400492961445
308,12,12013,-0.5571148825065275
308,12,12015,-0.27547923076131575
308,12,12017,-0.3938093816843257
308,12,12019,-0.4392687085923013
308,12,12021,-0.2570169845226364
308,12,12023,-0.4423156873614191
308,12,12027,-0.2748784738145465
308,12,12029,-0.6282086668506763
308,12,12031,-0.013670107862831682
308,12,12033,-0.20332485795086014
308,12,12035,-0.20390777243175195
308,12,12037,-0.3929691368212576
308,12,12039,0.37498304164970825
308,12,12041,-0.6234655335221907
308,12,12043,-0.39365586490187127
308,12,12045,-0.4922930023189197
308,12,12047,-0.2802768166089965
308,12,12049,-0.4045781556572924
308,12,12051,-0.14129851547129318
308,12,12053,-0.28710737340334486
308,12,12055,-0.31792397470170175
308,12,12057,0.06793621354882518
308,12,12059,-0.7748948106591865
308,12,12061,-0.24238259728361133
308,12,12063,-0.3714731320005671
308,12,12065,-0.05059175445441544
308,12,12067,-0.6716505423629434
308,12,12069,-0.23084323778906735
308,12,12071,-0.20416272237386685
308,12,12073,0.24854920360538335
308,12,12075,-0.4448433252987333
308,12,12077,-0.571256038647343
308,12,12079,-0.15515222482435603
308,12,12081,-0.1699519244068003
308,12,12083,-0.2603297328027288
308,12,12085,-0.26570706312836906
308,12,12086,0.2939117151594777
308,12,12087,-0.06824580589617701
308,12,12089,-0.4978932584269663
308,12,12091,-0.4712525466227864
308,12,12093,-0.3921953346413778
308,12,12095,0.24402520737377287
308,12,12097,0.24851556535753672
308,12,12099,0.1535111946347409
308,12,12101,-0.21359011777279918
308,12,12103,-0.011055609716875914
308,12,12105,-0.13937742404231818
308,12,12107,-0.3616708206960752
308,12,12113,-0.5285620856073249
308,12,12115,-0.11483749940567012
308,12,12117,-0.015484353023909991
308,12,12109,-0.3306951235436647
308,12,12111,-0.024001183156916184
308,12,12119,-0.3896009736140241
308,12,12121,-0.549475701282802
308,12,12123,-0.5111253744116389
308,12,12125,-0.6211114994757078
308,12,12127,-0.12882200563662743
308,12,12129,-0.39911939911939914
308,12,12131,-0.5569650126851141
308,12,12133,-0.5684595486575685
309,12,12001,0.11914880270978057
309,12,12003,-0.6219766138074644
309,12,12005,-0.4943068651492649
309,12,12007,-0.5071963639424291
309,12,12009,-0.2198133980339807
309,12,12011,0.2977507057625589
309,12,12013,-0.508570477616908
309,12,12015,-0.3149167209258365
309,12,12017,-0.3157398079547048
309,12,12019,-0.5188275790132472
309,12,12021,-0.3907942238267148
309,12,12023,-0.44328005363254647
309,12,12027,-0.32811180939874307
309,12,12029,-0.4946359605206695
309,12,12031,-0.16193098299073705
309,12,12033,-0.2827286572300714
309,12,12035,-0.2055089229032941
309,12,12037,-0.34415694233045835
309,12,12039,0.3501116020589441
309,12,12041,-0.5551823416506717
309,12,12043,-0.40274546300604935
309,12,12045,-0.47712146422628954
309,12,12047,-0.176053711301753
309,12,12049,-0.4161895886033818
309,12,12051,-0.25514215193344914
309,12,12053,-0.22622146846272667
309,12,12055,-0.30246187315470513
