GEOID,NAME,id,winner_name,winner_party,winner_votes,winner_margin,second_name,second_party,second_votes,second_margin,dem_margin
1203,FL-03,143,Ted Yoho,republican,193843,0.5656346658885323,"Kenneth """"Ken"""" McGurn",democratic,136338,0.39783484096877736,-0.16779982491975493
1222,FL-22,147,Ted Deutch,democratic,199113,0.5893532632825218,Andrea Leigh McGee,republican,138737,0.41064673671747814,0.17870652656504366
1202,FL-02,145,Neal Dunn,republican,231163,0.6722473289013744,Walter Dartland,democratic,102801,0.298956570291916,-0.3732907586094584
1227,FL-27,162,Ileana Ros-Lehtinen,republican,157917,0.5489385665173093,Scott Fuhrman,democratic,129760,0.4510614334826907,-0.09787713303461865
1213,FL-13,168,Charlie Crist,democratic,184693,0.5190309182165118,David W. Jolly,republican,171149,0.4809690817834882,0.03806183643302363
1204,FL-04,154,John Rutherford,republican,287509,0.7007253193988818,David E. Bruderly,democratic,113088,0.2756213715750837,-0.4251039478237981
1226,FL-26,163,Carlos Curbelo,republican,148547,0.5295000392098153,Joe Garcia,democratic,115493,0.4116781088036729,-0.11782193040614236
1223,FL-23,149,Debbie Wasserman Schultz,democratic,183225,0.5670493934142115,"Joseph """"Joe"""" Kaufman",republican,130818,0.4048588759593959,0.16219051745481555
1209,FL-09,166,Darren Soto,democratic,195311,0.574848202118548,Wayne Liebnitzky,republican,144450,0.42515179788145196,0.14969640423709607
1217,FL-17,150,Tom Rooney,republican,209348,0.6181383332103049,April Freeman,democratic,115974,0.3424344873403706,-0.2757038458699343
1220,FL-20,148,Alcee L. Hastings,democratic,222914,0.8031200461161551,Gary Jill Stein,republican,54646,0.19687995388384494,0.6062400922323101
1212,FL-12,159,Gus Michael Bilirakis,republican,253559,0.685908204366609,Robert Matthew Tager,democratic,116110,0.31409179563339096,-0.3718164087332181
1210,FL-10,164,Val Demings,democratic,198491,0.6486867174963806,Thuy Lowe,republican,107498,0.35131328250361943,0.2973734349927612
1214,FL-14,157,Kathy Castor,democratic,195789,0.6178706564376714,Christine Quinn,republican,121088,0.3821293435623286,0.23574131287534278
1201,FL-01,155,Matt Gaetz,republican,255107,0.690998575243915,Steven Specht,democratic,114079,0.309001424756085,-0.38199715048782995
1206,FL-06,156,Ron Desantis,republican,213519,0.5856735332035,William (Bill) McCullough,democratic,151051,0.4143264667965,-0.17134706640700004
1208,FL-08,146,Bill Posey,republican,246483,0.6310998794042416,Corry Westbrook,democratic,127127,0.3254984496659933,-0.30560142973824833
1221,FL-21,167,Lois Frankel,democratic,210606,0.6270629814119532,Paul Spain,republican,118038,0.35144896251723184,0.2756140188947213
4203,PA-03,384,GEORGE J KELLY,republican,244893,1.0,UNOPPOSED,N/A,0,0.0,-1
4210,PA-10,390,THOMAS A MARINO,republican,211282,0.7016887796615798,MICHAEL M MOLESEVICH,democratic,89823,0.29831122033842017,-0.40337755932315966
4201,PA-01,395,ROBERT A BRADY,democratic,245791,0.8220159860874219,DEBORAH L WILLIAMS,republican,53219,0.17798401391257818,0.6440319721748438
4213,PA-13,396,BRENDAN F BOYLE,democratic,239316,1.0,UNOPPOSED,N/A,0,0.0,1
4212,PA-12,381,KEITH JAMES ROTHFUS,republican,221851,0.6176184006859612,ERIN R MCCLELLAND,democratic,137353,0.3823815993140388,-0.23523680137192238
4208,PA-08,391,BRIAN K FITZPATRICK,republican,207263,0.5442573617843695,STEVEN J SANTARSIERO,democratic,173555,0.45574263821563055,-0.0885147235687389
4207,PA-07,389,PATRICK L MEEHAN,republican,225678,0.5946688027994582,MARY ELLEN BALCHUNIS,democratic,153824,0.4053311972005418,-0.18933760559891644
4202,PA-02,397,DWIGHT EVANS,democratic,322514,0.9017713095387885,JAMES A JONES,republican,35131,0.09822869046121153,0.803542619077577
4216,PA-16,388,LLOYD K SMUCKER,republican,168669,0.537551032115574,CHRISTINA M HARTMAN,democratic,134586,0.42892791922823187,-0.10862311288734211
4217,PA-17,394,MATTHEW ALTON CARTWRIGHT,democratic,157734,0.5380401413543273,MATTHEW CONNOLLY,republican,135430,0.46195985864567274,0.07608028270865458
4218,PA-18,383,TIMOTHY F MURPHY,republican,293684,1.0,UNOPPOSED,N/A,0,0.0,-1
4211,PA-11,393,LOU BARLETTA,republican,199421,0.636678255927923,MICHAEL PAUL MARSICANO,democratic,113800,0.3633217440720769,-0.27335651185584614
4206,PA-06,387,RYAN A COSTELLO,republican,207469,0.5723772239832924,MICHAEL D PARRISH,democratic,155000,0.4276227760167076,-0.14475444796658476
4205,PA-05,392,GLENN WILLIAM THOMPSON,republican,206760,0.6716432455610346,KERITH STRANO TAYLOR,democratic,101082,0.32835675443896545,-0.34328649112206916
4215,PA-15,386,CHARLES W DENT,republican,190618,0.5838706416763407,RICHARD D DAUGHERTY,democratic,124128,0.38020908314010654,-0.2036615585362342
4209,PA-09,385,WILLIAM F SHUSTER,republican,186580,0.6334085855413916,ART HALVORSON,democratic,107985,0.36659141445860843,-0.26681717108278313
4204,PA-04,380,SCOTT PERRY,republican,220628,0.660562874251497,JOSHUA T BURKHOLDER,democratic,113372,0.339437125748503,-0.32112574850299397
4214,PA-14,382,MICHAEL F DOYLE,democratic,255293,0.7436613728254664,LEONARD FRANCIS MCALLISTER,republican,87999,0.25633862717453365,0.48732274565093275
5508,WI-08,484,Mike Gallagher,republican,227892,0.6264555500577272,Tom Nelson,democratic,135682,0.37297817362141955,-0.2534773764363077
5506,WI-06,485,Glenn Grothman,republican,204147,0.5715473580769521,Sarah Lloyd,democratic,133072,0.37255972428699013,-0.19898763378996198
5507,WI-07,483,Sean Duffy,republican,223418,0.6167151110632648,Mary Hoeft,democratic,138643,0.3827052123962448,-0.23400989866702004
5501,WI-01,488,Paul Ryan,republican,230072,0.64947141102909,Ryan Solen,democratic,107003,0.30205930923513385,-0.34741210179395615
5502,WI-02,486,Mark Pocan,democratic,273537,0.6871753002059992,Peter Theron,republican,124044,0.3116213636135256,0.37555393659247355
5504,WI-04,489,Gwen S. Moore,democratic,220181,0.7674245143930654,Robert R. Raymond,independent,33494,0.11674084814348801,1
5503,WI-03,482,Ron Kind,democratic,257401,0.9885969965817875,UNOPPOSED,N/A,0,0.0,1
5505,WI-05,487,"F. James Sensenbrenner, Jr.",republican,260706,0.6670333943977649,Khary Penebaker,democratic,114477,0.2928969102762227,-0.37413648412154216
3302,NH-02,297,Ann McLane Kuster,democratic,174371,0.4978159830074913,Jim Lawrence,republican,158825,0.4534333318107071,0.044382651196784195
3301,NH-01,298,Carol Shea-Porter,democratic,162080,0.4433551436636978,Frank Guinta,republican,157176,0.4299406963257982,0.013414447337899649
5110,VA-10,467,BARBARA JEAN COMSTOCK,republican,210791,0.5268234041542849,LuAnn L. Bennett,democratic,187712,0.4691427757380966,-0.05768062841618826
