STATEFP,winner_name,winner_party,winner_votes,winner_margin,second_name,second_party,second_votes,second_margin,dem_margin
47,Donald Trump,republican,1522925,0.6072203369421462,Hillary Clinton,democratic,870695,0.34716332798650096,-0.2600570089556452
12,Donald Trump,republican,4617879,0.48618618112752243,Hillary Clinton,democratic,4504974,0.4742991544687029,-0.011887026658819522
53,Hillary Clinton,democratic,1741603,0.525573056520734,Donald Trump,republican,1219812,0.36810933445835226,0.1574637220623818
54,Donald Trump,republican,489351,0.6863065744206692,Hillary Clinton,democratic,188785,0.26476779786289606,-0.42153877655777316
30,Donald Trump,republican,279240,0.5616849744642932,Hillary Clinton,democratic,177709,0.35745765337012997,-0.20422732109416325
15,Hillary Clinton,democratic,266891,0.6222149173421738,Donald Trump,republican,128847,0.3003867700851174,0.32182814725705644
45,Donald Trump,republican,1155389,0.5493933268569543,Hillary Clinton,democratic,855373,0.4067341978966509,-0.14265912896030342
02,Donald Trump,republican,163347,0.5132404969428088,Hillary Clinton,democratic,116180,0.3650405635537569,-0.1481999333890519
46,Donald Trump,republican,227701,0.6153299445746081,Hillary Clinton,democratic,117442,0.31737049618021496,-0.29795944839439314
05,Donald Trump,republican,684872,0.6057270923822436,Hillary Clinton,democratic,380494,0.3365235026236865,-0.2692035897585571
16,Donald Trump,republican,409055,0.5925301983188311,Hillary Clinton,democratic,189765,0.2748811115472809,-0.31764908677155024
23,Hillary Clinton,democratic,357582,0.47822789990410886,Donald Trump,republican,335366,0.4485163623427392,0.029711537561369628
50,Hillary Clinton,democratic,178573,0.5670442240703165,Donald Trump,republican,95369,0.3028366024279259,0.2642076216423906
09,Hillary Clinton,democratic,897572,0.5456809247683397,Donald Trump,republican,673215,0.40928257985756894,0.1363983449107708
01,Donald Trump,republican,1317127,0.6215592790985097,Hillary Clinton,democratic,727869,0.3434852758451943,-0.27807400325331544
19,Donald Trump,republican,800983,0.5114732722404601,Hillary Clinton,democratic,653669,0.4174048917294741,-0.09406838051098604
27,Hillary Clinton,democratic,1367716,0.4644491857377701,Donald Trump,republican,1322951,0.4492478809350543,0.01520130480271581
42,Donald Trump,republican,2970378,0.482729267222466,Hillary Clinton,democratic,2925758,0.47547787366128746,-0.007251393561178543
34,Hillary Clinton,democratic,2148239,0.5504838491452562,Donald Trump,republican,1600868,0.4102206405402137,0.1402632086050425
22,Donald Trump,republican,1178638,0.580886846535688,Hillary Clinton,democratic,780154,0.3844956609851397,-0.1963911855505483
31,Donald Trump,republican,496142,0.5875348008815237,Hillary Clinton,democratic,284527,0.3369388487376946,-0.25059595214382907
26,Donald Trump,republican,2279543,0.47497564219996147,Hillary Clinton,democratic,2268839,0.4727453095086684,-0.00223033269129308
28,Donald Trump,republican,700714,0.5794060689650611,Hillary Clinton,democratic,485131,0.4011448974090557,-0.1782611715560054
13,Donald Trump,republican,2089104,0.50771326054771,Hillary Clinton,democratic,1877963,0.4563998335736082,-0.05131342697410185
55,Donald Trump,republican,1404000,0.4718831262458773,Hillary Clinton,democratic,1381823,0.4644294566655676,-0.007453669580309685
37,Donald Trump,republican,2362631,0.49828052661060646,Hillary Clinton,democratic,2189316,0.46172827216650697,-0.036552254444099486
44,Hillary Clinton,democratic,251888,0.5435461874428159,Donald Trump,republican,180490,0.38947727311961605,0.15406891432319986
08,Hillary Clinton,democratic,1338870,0.48156512712719407,Donald Trump,republican,1202484,0.4325097734122184,0.04905535371497566
56,Donald Trump,republican,174419,0.6817263307654124,Hillary Clinton,democratic,55973,0.2187735734749794,-0.46295275729043306
04,Donald Trump,republican,1252389,0.4808301649480024,Hillary Clinton,democratic,1161165,0.44580650140000205,-0.03502366354800035
40,Donald Trump,republican,949136,0.6532286481962736,Hillary Clinton,democratic,420375,0.2893168028454389,-0.36391184535083465
48,Donald Trump,republican,4684288,0.5215276123208333,Hillary Clinton,democratic,3877626,0.4317174839064514,-0.0898101284143819
